00a,00t,01a,01t,02a,02t,10a,10t,11a,11t,12a,12t,20a,20t,21a,21t,22a,22t,30a,30t,31a,31t,32a,32t,40a,40t,41a,41t,42a,42t,50a,50t,51a,51t,52a,52t,ha,ht
120,500,15,1,135,500,60,500,15,1,135,500,90,500,15,1,135,500,120,500,15,1,135,500,60,500,15,1,135,500,90,500,15,1,135,500,0,1
120,1,60,400,145,1,60,1,60,400,145,1,90,1,60,1,145,1,120,1,60,400,145,1,60,1,60,400,145,1,90,1,60,1,145,1,0,1
,,,,,,,,20,250,,,,,,,,,,,20,250,,,,,,,,,,,20,250,,,0,1
120,500,,,,,90,500,,,,,90,500,,,,,135,500,,,,,60,500,,,,,70,500,,,,,0,1
,,,,,,,,60,250,,,,,,,,,,,60,250,,,,,,,,,,,60,250,,,0,1
,,20,250,,,,,,,,,,,20,250,,,,,,,,,,,20,250,,,,,,,,,0,1
90,500,,,,,50,500,,,,,110,500,,,,,90,500,,,,,45,500,,,,,110,500,,,,,0,1
,,60,250,,,,,,,,,,,60,250,,,,,,,,,,,60,250,,,,,,,,,0,1
,,,,,,,,20,250,,,,,,,,,,,20,250,,,,,,,,,,,20,250,,,0,1
120,500,,,,,90,500,,,,,90,500,,,,,135,500,,,,,60,500,,,,,70,500,,,,,0,1
,,,,,,,,60,250,,,,,,,,,,,60,250,,,,,,,,,,,60,250,,,0,1
,,20,250,,,,,,,,,,,20,250,,,,,,,,,,,20,250,,,,,,,,,0,1
90,500,,,,,50,500,,,,,110,500,,,,,90,500,,,,,45,500,,,,,110,500,,,,,0,1
,,60,250,,,,,,,,,,,60,250,,,,,,,,,,,60,250,,,,,,,,,0,1
,,,,,,,,20,250,,,,,,,,,,,20,250,,,,,,,,,,,20,250,,,0,1
120,500,,,,,90,500,,,,,90,500,,,,,135,500,,,,,60,500,,,,,70,500,,,,,0,1
,,,,,,,,60,250,,,,,,,,,,,60,250,,,,,,,,,,,60,250,,,0,1
,,20,250,,,,,,,,,,,20,250,,,,,,,,,,,20,250,,,,,,,,,0,1
90,500,,,,,50,500,,,,,110,500,,,,,90,500,,,,,45,500,,,,,110,500,,,,,0,1
,,60,250,,,,,,,,,,,60,250,,,,,,,,,,,60,250,,,,,,,,,0,1
,,,,,,,,20,250,,,,,,,,,,,20,250,,,,,,,,,,,20,250,,,0,1
120,500,,,,,90,500,,,,,90,500,,,,,135,500,,,,,60,500,,,,,70,500,,,,,0,1
